"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"40-44 Jahre"	"45-49 Jahre"	"50-54 Jahre"	"55-59 Jahre"	"60-64 Jahre"
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	6	7	5	4	3
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	4	7	3	6
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	170	169	156	129	103
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	40	36	23	17	13
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	0	0	3
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	10	16	25	16	13
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	196	226	195	155	135
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	37	46	32	15	10
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	1	3	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	13	18	25	19	29
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	28	23	24	31	22
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	6	6	4	2	3
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	1
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	2	2	5	4
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	31	41	57	34	29
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	8	9	12	2	1
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	1	1	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	8	6	3	6
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	20	23	26	34	18
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	6	5	3	4	3
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	2	0	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	2	8	7	2
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	42	42	29	42	25
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	8	2	3	0
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	1
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	4	7	4	2
"2015"	"......0025 Dachsen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	66	87	98	79	64
"2015"	"......0025 Dachsen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	11	13	14	13	4
"2015"	"......0025 Dachsen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	0	1	1
"2015"	"......0025 Dachsen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	8	15	7	8
"2015"	"......0026 Dorf"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	13	33	39	26	15
"2015"	"......0026 Dorf"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2	2	5	4	0
"2015"	"......0026 Dorf"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0026 Dorf"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	3	0	3	2
"2015"	"......0027 Feuerthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	125	151	169	134	97
"2015"	"......0027 Feuerthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	45	43	29	13	9
"2015"	"......0027 Feuerthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	1	3
"2015"	"......0027 Feuerthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	6	17	30	28	17
"2015"	"......0028 Flaach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	42	68	73	60	40
"2015"	"......0028 Flaach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	10	14	8	6	2
"2015"	"......0028 Flaach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	1	1	0
"2015"	"......0028 Flaach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	4	9	8	10	6
"2015"	"......0029 Flurlingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	37	67	78	47	52
"2015"	"......0029 Flurlingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	8	16	13	4	3
"2015"	"......0029 Flurlingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	2	1
"2015"	"......0029 Flurlingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	3	11	8	7
"2015"	"......0030 Andelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	79	101	90	55	44
"2015"	"......0030 Andelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	20	20	15	2	0
"2015"	"......0030 Andelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	2	0	1
"2015"	"......0030 Andelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	10	16	10	6
"2015"	"......0031 Henggart"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	79	92	108	67	52
"2015"	"......0031 Henggart"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	16	14	10	7	5
"2015"	"......0031 Henggart"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	0	0	0
"2015"	"......0031 Henggart"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	6	6	18	7	8
"2015"	"......0032 Humlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	20	22	23	11	9
"2015"	"......0032 Humlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	3	3	2	0	0
"2015"	"......0032 Humlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0032 Humlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	1	1	1
"2015"	"......0033 Kleinandelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	74	105	93	79	72
"2015"	"......0033 Kleinandelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	24	9	13	4
"2015"	"......0033 Kleinandelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	0	1	0
"2015"	"......0033 Kleinandelfingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	6	13	15	11	10
"2015"	"......0034 Laufen-Uhwiesen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	61	81	81	66	45
"2015"	"......0034 Laufen-Uhwiesen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	16	12	15	10	4
"2015"	"......0034 Laufen-Uhwiesen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	1
"2015"	"......0034 Laufen-Uhwiesen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	5	11	11	6
"2015"	"......0035 Marthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	59	76	80	83	61
"2015"	"......0035 Marthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	13	9	11	2
"2015"	"......0035 Marthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	2	0	0
"2015"	"......0035 Marthalen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	15	11	11	13
"2015"	"......0036 Oberstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	35	40	54	41	51
"2015"	"......0036 Oberstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	6	8	5	2
"2015"	"......0036 Oberstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	1	0	0
"2015"	"......0036 Oberstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	4	11	5	9
"2015"	"......0037 Ossingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	55	63	69	57	44
"2015"	"......0037 Ossingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	17	13	9	9	2
"2015"	"......0037 Ossingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	1	1
"2015"	"......0037 Ossingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	4	10	11	11	3
"2015"	"......0038 Rheinau"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	38	70	62	65	48
"2015"	"......0038 Rheinau"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	9	15	11	6	5
"2015"	"......0038 Rheinau"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	1	0	0
"2015"	"......0038 Rheinau"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	8	6	13	8
"2015"	"......0039 Thalheim an der Thur"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	38	55	42	34	26
"2015"	"......0039 Thalheim an der Thur"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	18	13	7	4	3
"2015"	"......0039 Thalheim an der Thur"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0039 Thalheim an der Thur"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	6	10	7	6
"2015"	"......0040 Trüllikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	32	34	39	41	38
"2015"	"......0040 Trüllikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	11	5	3	10	0
"2015"	"......0040 Trüllikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	2	0
"2015"	"......0040 Trüllikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	3	5	5	4
"2015"	"......0041 Truttikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	16	18	25	21	11
"2015"	"......0041 Truttikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2	7	2	2	0
"2015"	"......0041 Truttikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0041 Truttikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	1	4	2	1
"2015"	"......0042 Unterstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	39	30	30	42	25
"2015"	"......0042 Unterstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	13	7	4	2	2
"2015"	"......0042 Unterstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0042 Unterstammheim"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	1	8	6	7
"2015"	"......0043 Volken"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	11	19	17	15	5
"2015"	"......0043 Volken"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2	5	1	5	1
"2015"	"......0043 Volken"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	0
"2015"	"......0043 Volken"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	2	0	0	1
"2015"	"......0044 Waltalingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	23	21	37	30	30
"2015"	"......0044 Waltalingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2	2	3	4	5
"2015"	"......0044 Waltalingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	2	0	1
"2015"	"......0044 Waltalingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	2	5	3	3
"2015"	"......0051 Bachenbülach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	157	172	155	121	123
"2015"	"......0051 Bachenbülach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	38	37	20	15	9
"2015"	"......0051 Bachenbülach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	1	3	2
"2015"	"......0051 Bachenbülach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	20	24	27	13	24
"2015"	"......0052 Bassersdorf"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	479	564	445	365	294
"2015"	"......0052 Bassersdorf"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	127	104	45	43	20
"2015"	"......0052 Bassersdorf"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	1	4	9
"2015"	"......0052 Bassersdorf"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	41	81	67	56	40
"2015"	"......0053 Bülach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	726	730	650	558	472
"2015"	"......0053 Bülach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	186	134	116	66	44
"2015"	"......0053 Bülach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	2	1	4	13
"2015"	"......0053 Bülach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	56	98	99	90	81
"2015"	"......0054 Dietlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	301	304	289	209	198
"2015"	"......0054 Dietlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	65	69	55	22	9
"2015"	"......0054 Dietlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	2	2	0	3
"2015"	"......0054 Dietlikon"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	25	26	49	41	36
"2015"	"......0055 Eglisau"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	207	207	241	149	149
"2015"	"......0055 Eglisau"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	44	40	35	16	10
"2015"	"......0055 Eglisau"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	0	0	1
"2015"	"......0055 Eglisau"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	11	21	33	25	27
"2015"	"......0056 Embrach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	390	375	419	279	249
"2015"	"......0056 Embrach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	97	81	62	27	19
"2015"	"......0056 Embrach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	2	5	5
"2015"	"......0056 Embrach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	37	53	58	48	38
"2015"	"......0057 Freienstein-Teufen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	86	110	124	105	73
"2015"	"......0057 Freienstein-Teufen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	22	24	13	11	10
"2015"	"......0057 Freienstein-Teufen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	2	1	0
"2015"	"......0057 Freienstein-Teufen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	5	6	19	19	7
"2015"	"......0058 Glattfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	206	240	229	168	127
"2015"	"......0058 Glattfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	47	61	33	19	11
"2015"	"......0058 Glattfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	1	1
"2015"	"......0058 Glattfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	14	23	40	26	15
"2015"	"......0059 Hochfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	69	83	81	75	68
"2015"	"......0059 Hochfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	16	6	12	6	3
"2015"	"......0059 Hochfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	3
"2015"	"......0059 Hochfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	4	7	10	8	4
"2015"	"......0060 Höri"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	107	132	126	90	87
"2015"	"......0060 Höri"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	25	33	19	9	7
